#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                         1269                0
   8 ADD                       745176                0
   9 ADDPD                     125277                0
  10 ADDPS                     142278                0
  11 ADDSD                      55923                0
  12 ADDSS                      56257                0
  13 ADDSUBPD                    1542                0
  14 ADDSUBPS                     840                0
  15 ADD_LOCK                     938                0
  17 AESDEC                       156                0
  18 AESDECLAST                    12                0
  19 AESENC                       325                0
  20 AESENCLAST                    25                0
  21 AESIMC                        13                0
  22 AESKEYGENASSIST               31                0
  23 AND                        61290                0
  24 ANDN                          70                0
  25 ANDNPD                      1285                0
  26 ANDNPS                       768                0
  27 ANDPD                      18968                0
  28 ANDPS                      22616                0
  29 AND_LOCK                      17                0
  55 BSF                           60                0
  56 BSR                          218                0
  57 BSWAP                       1123                0
  58 BT                           701                0
  59 BTC                           16                0
  61 BTR                           58                0
  62 BTR_LOCK                       4                0
  63 BTS                           42                0
  64 BTS_LOCK                       5                0
  67 CALL_NEAR                 771373                0
  68 CBW                            6                0
  69 CDQ                         1928                0
  70 CDQE                       21669                0
  72 CLC                            3                0
  73 CLD                           41                0
  77 CLI                           11                0
  82 CMC                            2                0
  99 CMP                       485903                0
 100 CMPPD                       1018                0
 101 CMPPS                        593                0
 102 CMPSB                          2                0
 103 CMPSD                          3                0
 104 CMPSD_XMM                   1292                0
 106 CMPSS                       1239                0
 108 CMPXCHG                      236                0
 113 CMPXCHG_LOCK                 621                0
 114 COMISD                      3360                0
 115 COMISS                      3499                0
 116 CPUID                         43                0
 117 CQO                         1248                0
 119 CVTDQ2PD                      10                0
 120 CVTDQ2PS                      86                0
 121 CVTPD2DQ                       6                0
 123 CVTPD2PS                      12                0
 126 CVTPS2DQ                      40                0
 127 CVTPS2PD                     896                0
 129 CVTSD2SI                     215                0
 130 CVTSD2SS                     790                0
 131 CVTSI2SD                    7855                0
 132 CVTSI2SS                    2856                0
 133 CVTSS2SD                    2037                0
 134 CVTSS2SI                     152                0
 137 CVTTPS2DQ                     11                0
 139 CVTTSD2SI                   3775                0
 140 CVTTSS2SI                   1280                0
 142 CWDE                         188                0
 145 DEC                        21450                0
 146 DEC_LOCK                     354                0
 147 DIV                         4755                0
 148 DIVPD                          7                0
 149 DIVPS                         26                0
 150 DIVSD                      19053                0
 151 DIVSS                      18005                0
 154 EMMS                          67                0
 163 F2XM1                          5                0
 164 FABS                         212                0
 165 FADD                         221                0
 166 FADDP                       1231                0
 167 FBLD                           3                0
 168 FBSTP                          3                0
 169 FCHS                         178                0
 179 FCOMI                         11                0
 180 FCOMIP                        17                0
 181 FCOMP                          7                0
 186 FDIV                         113                0
 187 FDIVP                         58                0
 188 FDIVR                         10                0
 189 FDIVRP                        57                0
 190 FEMMS                        130                0
 193 FFREEP                         3                0
 199 FILD                         236                0
 203 FISTP                        185                0
 204 FISTTP                         3                0
 207 FLD                         3961                0
 208 FLD1                         204                0
 209 FLDCW                        386                0
 210 FLDENV                        17                0
 211 FLDL2E                         3                0
 212 FLDL2T                         1                0
 213 FLDLG2                         2                0
 214 FLDLN2                        13                0
 215 FLDPI                         12                0
 216 FLDZ                         504                0
 217 FMUL                        1347                0
 218 FMULP                        222                0
 219 FNCLEX                         1                0
 223 FNSTCW                       189                0
 224 FNSTENV                       17                0
 225 FNSTSW                       173                0
 226 FPATAN                         3                0
 227 FPREM                          4                0
 228 FPREM1                         1                0
 230 FRNDINT                       15                0
 232 FSCALE                         7                0
 236 FSQRT                         79                0
 237 FST                            4                0
 238 FSTP                        3866                0
 240 FSUB                         132                0
 241 FSUBP                        148                0
 242 FSUBR                         41                0
 243 FSUBRP                       103                0
 246 FUCOMI                       610                0
 247 FUCOMIP                      461                0
 249 FUCOMPP                        1                0
 250 FWAIT                         32                0
 251 FXAM                         159                0
 252 FXCH                        1670                0
 257 FXTRACT                        3                0
 259 FYL2XP1                        4                0
 264 HADDPD                      1157                0
 265 HADDPS                       752                0
 266 HLT                            7                0
 269 IDIV                        2983                0
 270 IMUL                       85605                0
 271 IN                            13                0
 272 INC                         8068                0
 275 INC_LOCK                      11                0
 276 INSB                           1                0
