#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                         1324                0
   8 ADD                       921966                0
   9 ADDPD                     125310                0
  10 ADDPS                     142771                0
  11 ADDSD                      59370                0
  12 ADDSS                      58431                0
  13 ADDSUBPD                    1542                0
  14 ADDSUBPS                     858                0
  15 ADD_LOCK                     986                0
  17 AESDEC                       156                0
  18 AESDECLAST                    12                0
  19 AESENC                       325                0
  20 AESENCLAST                    25                0
  21 AESIMC                        13                0
  22 AESKEYGENASSIST               31                0
  23 AND                        90313                0
  24 ANDN                          70                0
  25 ANDNPD                      1320                0
  26 ANDNPS                       788                0
  27 ANDPD                      19141                0
  28 ANDPS                      22775                0
  29 AND_LOCK                      23                0
  41 BLENDVPS                       2                0
  55 BSF                           73                0
  56 BSR                          707                0
  57 BSWAP                       5686                0
  58 BT                          1027                0
  59 BTC                           16                0
  61 BTR                           58                0
  62 BTR_LOCK                      10                0
  63 BTS                           52                0
  64 BTS_LOCK                       5                0
  65 BZHI                           3                0
  67 CALL_NEAR                 868583                0
  68 CBW                            6                0
  69 CDQ                         3205                0
  70 CDQE                       27257                0
  72 CLC                            9                0
  73 CLD                           46                0
  77 CLI                           12                0
  82 CMC                            5                0
  99 CMP                       589509                0
 100 CMPPD                       1018                0
 101 CMPPS                        610                0
 102 CMPSB                          2                0
 103 CMPSD                          3                0
 104 CMPSD_XMM                   1348                0
 106 CMPSS                       1257                0
 108 CMPXCHG                      236                0
 113 CMPXCHG_LOCK                 719                0
 114 COMISD                      4211                0
 115 COMISS                      3672                0
 116 CPUID                         59                0
 117 CQO                         1648                0
 119 CVTDQ2PD                      46                0
 120 CVTDQ2PS                     120                0
 121 CVTPD2DQ                       6                0
 123 CVTPD2PS                      12                0
 124 CVTPI2PD                       4                0
 125 CVTPI2PS                       8                0
 126 CVTPS2DQ                      61                0
 127 CVTPS2PD                     896                0
 128 CVTPS2PI                       4                0
 129 CVTSD2SI                     329                0
 130 CVTSD2SS                    1462                0
 131 CVTSI2SD                   10970                0
 132 CVTSI2SS                    3694                0
 133 CVTSS2SD                    4261                0
 134 CVTSS2SI                     202                0
 135 CVTTPD2DQ                     18                0
 137 CVTTPS2DQ                     13                0
 139 CVTTSD2SI                   4609                0
 140 CVTTSS2SI                   1590                0
 142 CWDE                         380                0
 145 DEC                        27874                0
 146 DEC_LOCK                     354                0
 147 DIV                         5314                0
 148 DIVPD                         13                0
 149 DIVPS                         29                0
 150 DIVSD                      20687                0
 151 DIVSS                      18401                0
 154 EMMS                         186                0
 160 ENTER                          1                0
 161 EXTRACTPS                      3                0
 163 F2XM1                          5                0
 164 FABS                         212                0
 165 FADD                         221                0
 166 FADDP                       1231                0
 167 FBLD                           3                0
 168 FBSTP                          3                0
 169 FCHS                         178                0
 179 FCOMI                         11                0
 180 FCOMIP                        17                0
 181 FCOMP                          7                0
 186 FDIV                         113                0
 187 FDIVP                         58                0
 188 FDIVR                         10                0
 189 FDIVRP                        57                0
 190 FEMMS                        131                0
 193 FFREEP                         3                0
 199 FILD                         236                0
 203 FISTP                        185                0
 204 FISTTP                         4                0
 207 FLD                         3960                0
 208 FLD1                         204                0
 209 FLDCW                        388                0
 210 FLDENV                        17                0
